,,,,,,,,,,,,,,,,,,,,,,,ORDER,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Hymenoptera,Coleoptera,Coleoptera,Coleoptera,Diptera,Lepidoptera
,,,,,,,,,,,,,,,,,,,,,,,SUPERFAMILY,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Chalcidoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Ichneumonoidea,Curculionoidea,Curculionoidea,Curculionoidea,Tephritoidea,Geometroidea
,,,,,,,,,,,,,,,,,,,,,,,FAMILY,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eulophidae,Eurytomidae,Eurytomidae,Eurytomidae,Eurytomidae,Mymaridae,Pteromalidae,Pteromalidae,Pteromalidae,Pteromalidae,Pteromalidae,Pteromalidae,Pteromalidae,Pteromalidae,Pteromalidae,Pteromalidae,Torymidae,Chalcidoidea,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Braconidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Ichneumonidae,Curculionidae,Curculionidae,Curculionidae,Tephritidae,Geometridae
,,,,,,,,,,,,,,,,,,,,,,,GENUS,Anaprostocetus,Aprostocetus,Aprostocetus,Aprostocetus,Chrysocharis,Cirrospilus,Closterocerus,Dicladocerus,Entedon,Euderus,Pediobius,Pnigalio,Pnigalio,Pnigalio,Tetrastichus,Tetrastichus,Tetrastichus,Tetrastichus,Tetrastichus,Tetrastichus,Tetrastichus,Eurytoma,Eurytoma,Eurytoma,Eurytoma,(blank),Eulonchetron,Eupelmus,Macroneura,Mesopolobus,Pteromalus,Pteromalus,Pteromalus,Pteromalus,Pteromalus,Sympiesis,Torymus,(blank),Apanteles,Apanteles,Apanteles,Bracon,Bracon,Bracon,Bracon,Bracon,Bracon,Bracon,Bracon,Bracon,Bracon,Bracon,Bracon,Bracon,Colastes,Colastes,Colastes,Colastes,Colastes,Dolichogenidea,Dolichogenidea,Ichneutes,Ichneutes,Ichneutes,Ichneutes,Lissogaster,Shawiana,(blank),Adelognathus,Adelognathus,Adelognathus,Adelognathus,Anoncus,Aptesis,Campodorus,Campoplex,Cteniscus,Ctenochira,Ctenochira,Ctenochira,Diaparsis,Eclytus,Eridolius,Eridolius,Eridolius,Eridolius,Erromenus,Exochus,Exyston,Gambrus,Gelis,Itoplectis,Lathrostizus,Lathrostizus,Lathrostizus,Lathrostizus,Lathrostizus,Lathrostizus,Lathrostizus,Lissonota,Mesochorus,Mesoleius,Olesicampe,Polyblastus,Polyblastus,Probles,Rhinotorus,Saotis,Saotis,Saotis,Saotis,Saotis,Saotis,Saotis,Saotis,Saotis,Saotis,Scambus,Theroscopus,(blank),(blank),Apion,Curculio,Curculio,Euphranta,Hydriomena
,,,,,,,,,,,,,,,,,,,,,,,GOODNESS OF ID,species,species,species,genus,species,species,species,species,species,species,species,species,species,species,species,species,species,species,species,species,genus,species,species,species,genus,,species,species,species,species,species,species,species,species,genus,possible species,genus,superfamily,possible species,species,genus,species,species,species,species,species,species,species,species,species,species,species,species,genus,species,species,species,species,species,species,species,species,species,species,genus,species,species,family,species,species,species,genus,species,species,species,genus,species,possible species,species,genus,species,genus,species,species,species,genus,species,species,species,species,genus,species,species,species,species,species,species,species,species,species,species,genus,genus,species,genus,species,species,species,species,species,species,species,species,species,species,species,genus,species,species,subfamily,family,species,species,species,species,species
,,,,,,,,,,,,,,,,,,,,,,,P/I,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,I,P,P,I,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,I,I,I,I,I
,,,,,,,,,,,,,,,,,,,,,,,ENDO/ECTO,Endo,Endo,Endo,Endo,Endo,Ecto,Endo,Ecto,Ecto,Ecto,Endo,Ecto,Ecto,Ecto,Endo,Endo,Endo,Endo,Endo,Endo,Endo,,Ecto,Ecto,,Endo,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Endo,Endo,Endo,Endo,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Ecto,Endo,Ecto,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Ecto,Ecto,Ecto,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Ecto,Endo,Endo,Endo,,,,,
,,,,,,,,,,,,,,,,,,,,,,,KOINO/IDIO,Koino,Koino,Koino,Koino,Idio,Idio,Idio,Koino,Idio,Idio,Koino,Idio,Idio,Idio,Koino,Koino,Koino,Koino,Koino,Koino,Koino,,Idio,Idio,,Koino,Idio,Idio,Idio,Koino,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Idio,Idio,Idio,Idio,Idio,Idio,Idio,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Idio,Koino,Koino,Koino,Koino,Koino,Koino,Idio,Koino,Koino,Idio,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Idio,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Koino,Idio,Idio,Koino,Koino,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1INSTAR/LINSTAR/COCOON/EGG,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,LINSTAR,LINSTAR,LINSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,EGG,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,LINSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,LINSTAR,1INSTAR,1INSTAR,LINSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,LINSTAR,LINSTAR,LINSTAR,LINSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,LINSTAR,LINSTAR,LINSTAR,LINSTAR,LINSTAR,LINSTAR,LINSTAR,LINSTAR,LINSTAR,LINSTAR,LINSTAR,LINSTAR,LINSTAR,1INSTAR,COCOON,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,LINSTAR,LINSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,1INSTAR,LINSTAR,1INSTAR/COCOON,1INSTAR,1INSTAR,1INSTAR,EGG,EGG,1INSTAR,1INSTAR
,,,,,,,,,,,,,,,,,,,,,,,RPAR,Aacumi,Aalvea,Atymbe,Aprost,Celong,Cvitta,Ctrifa,Dwestw,Eheyer,Ealbit,Psauli,Pnemat,Ppecti,Psoemi,Tspone,Tsptwo,Tspthr,Tspfou,Tspfiv,Tspsix,Tetras,Eacicu,Enobbe,Esalic,Euryto,Mymari,Etorym,Eurozo,Mvesic,Mlongi,Pcynip,Pdolic,Peuura,Pponta,Pterom,Salcal,Torymu,Chalci,Amorri,Axanth,Apante,Bbrevi,Bconju,Bdisco,Bepitr,Bimmut,Binter,Bkopel,Blivid,Bobscu,Bpicti,Bpulch,Broman,Bracsp,Cflavi,Cgraci,Cincer,Claevi,Cnrsub,Dcoleo,Dlongi,Ibrevi,Ilappo,Ireuni,Ichnsp,Lsubco,Slappo,Bracin,Acubic,Apusil,Atroch,Adelog,Agalli,Anigro,Cvarie,Campop,Cdorsa,Coreop,Croman,Ctenoc,Dstram,Eclytu,Efront,Epygma,Etaige,Eridol,Eanali,Espone,Ecalca,Gornat,Geliss,Ialter,Lalpic,Lalpiu,Lflexi,Lforti,Llappo,Llugen,Lpunct,Lalpio,Mspone,Mesole,Olesic,Ppumil,Polybl,Pclavi,Rbrach,Salpin,Sborea,Sgranu,Smorle,Snigri,Spygid,Srenov,Ssubar,Strico,Saotis,Svesic,Themip,Latole,Ichnin,Aminim,Ccruxx,Csalic,Etoxon,Hruber
